2024-03-18 07:38:28,753 INFO    StreamThr :3480 [internal.py:wandb_internal():86] W&B internal server running at pid: 3480, started at: 2024-03-18 07:38:28.752385
2024-03-18 07:38:28,755 DEBUG   HandlerThread:3480 [handler.py:handle_request():146] handle_request: status
2024-03-18 07:38:28,756 INFO    WriterThread:3480 [datastore.py:open_for_write():87] open: /project/wandb/run-20240318_073828-mjg33nla/run-mjg33nla.wandb
2024-03-18 07:38:28,758 DEBUG   SenderThread:3480 [sender.py:send():378] send: header
2024-03-18 07:38:28,758 DEBUG   SenderThread:3480 [sender.py:send():378] send: run
2024-03-18 07:38:28,999 INFO    SenderThread:3480 [dir_watcher.py:__init__():211] watching files in: /project/wandb/run-20240318_073828-mjg33nla/files
2024-03-18 07:38:29,000 INFO    SenderThread:3480 [sender.py:_start_run_threads():1099] run started: mjg33nla with start time 1710747508.752186
2024-03-18 07:38:29,006 DEBUG   HandlerThread:3480 [handler.py:handle_request():146] handle_request: check_version
2024-03-18 07:38:29,006 DEBUG   SenderThread:3480 [sender.py:send_request():405] send_request: check_version
2024-03-18 07:38:29,093 DEBUG   HandlerThread:3480 [handler.py:handle_request():146] handle_request: run_start
2024-03-18 07:38:29,097 DEBUG   HandlerThread:3480 [system_info.py:__init__():26] System info init
2024-03-18 07:38:29,097 DEBUG   HandlerThread:3480 [system_info.py:__init__():41] System info init done
2024-03-18 07:38:29,097 INFO    HandlerThread:3480 [system_monitor.py:start():194] Starting system monitor
2024-03-18 07:38:29,097 INFO    SystemMonitor:3480 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-03-18 07:38:29,098 INFO    HandlerThread:3480 [system_monitor.py:probe():214] Collecting system info
2024-03-18 07:38:29,098 INFO    SystemMonitor:3480 [interfaces.py:start():190] Started cpu monitoring
2024-03-18 07:38:29,099 INFO    SystemMonitor:3480 [interfaces.py:start():190] Started disk monitoring
2024-03-18 07:38:29,099 INFO    SystemMonitor:3480 [interfaces.py:start():190] Started gpu monitoring
2024-03-18 07:38:29,100 INFO    SystemMonitor:3480 [interfaces.py:start():190] Started memory monitoring
2024-03-18 07:38:29,101 INFO    SystemMonitor:3480 [interfaces.py:start():190] Started network monitoring
2024-03-18 07:38:29,108 DEBUG   HandlerThread:3480 [system_info.py:probe():150] Probing system
2024-03-18 07:38:29,110 DEBUG   HandlerThread:3480 [system_info.py:_probe_git():135] Probing git
2024-03-18 07:38:29,115 ERROR   HandlerThread:3480 [gitlib.py:root():92] git root error: Cmd('git') failed due to: exit code(128)
  cmdline: git rev-parse --show-toplevel
  stderr: 'fatal: detected dubious ownership in repository at '/project'
To add an exception for this directory, call:

	git config --global --add safe.directory /project'
2024-03-18 07:38:29,115 DEBUG   HandlerThread:3480 [system_info.py:_probe_git():143] Probing git done
2024-03-18 07:38:29,115 DEBUG   HandlerThread:3480 [system_info.py:probe():198] Probing system done
